stores,,,,,,,,,,,,,,,,
MONTH,CITY,STORE,STATUS,ZONE MAPPING,ORDER COUNT,CART SALES,DISCOUNT,NET REVENUE,IDEAL FOOD COST,GROSS MARGIN,KITCHEN EBITDA,VARIANCE,REVENUE COHORT,CM COHORT,EBITDA CATEGORY,EBITDA COHORT
Feb-2024,Pune,"Green, Howard and Campbell",Inactive,East,8624,3153591.94,771151.98,2475787.12,918418.18,1448662.77,-31689.35,24937.51,INR 30 to 40 lacs,10% to 20%,EBITDA -ve,More than 20%
Mar-2024,Pune,"Green, Howard and Campbell",Inactive,East,9411,4621786.7,705908.07,4049956.95,1220305.15,2744489.53,1518435.97,20503.27,INR 20 to 30 lacs,More than 30%,EBITDA +ve,0% to 10%
Oct-2023,Bangalore,Duffy-Bowen,Active,East,10654,3825378.98,1029069.36,2857637.94,1125452.63,1681926.91,221519.3,25333.12,INR 20 to 30 lacs,0% to 10%,EBITDA +ve,More than 20%
Nov-2023,Bangalore,Duffy-Bowen,Active,East,10040,3863281.18,668145.09,3265318.04,1099046.62,2052475.34,796444.75,25452.45,INR 30 to 40 lacs,0% to 10%,EBITDA -ve,0% to 10%
Dec-2023,Bangalore,Duffy-Bowen,Active,East,11131,3529992.4,1002971.91,2591142.18,788319.04,1729451.93,250675.75,23800.1,INR 30 to 40 lacs,10% to 20%,EBITDA +ve,0% to 10%
Jan-2024,Bangalore,Duffy-Bowen,Active,East,8016,2678110.23,566210.56,2195049.69,785949.22,1261684.01,-95191.58,17618.19,INR 30 to 40 lacs,More than 30%,EBITDA +ve,0% to 10%
Feb-2024,Bangalore,Duffy-Bowen,Active,East,9817,4784722.99,1115177,3782097.82,1460116.33,2186838.99,795424.84,22819.44,More than 40 lacs,More than 30%,EBITDA +ve,0% to 10%
Mar-2024,Bangalore,Duffy-Bowen,Active,East,12656,5252653.47,1165580.44,4212726.21,1995677.52,2100418,839830.21,17729.22,INR 20 to 30 lacs,0% to 10%,EBITDA -ve,10% to 20%
Oct-2023,Bangalore,Scott and Sons,Inactive,South,12636,5763940.68,1262130.46,4612597.64,1471610.55,3060659.58,1760805.88,18282.6,INR 20 to 30 lacs,0% to 10%,EBITDA -ve,0% to 10%
Nov-2023,Bangalore,Scott and Sons,Inactive,South,8549,2867141.64,596542.69,2360126.36,980375.21,1267856.33,-26968.6,26213.72,INR 30 to 40 lacs,10% to 20%,EBITDA -ve,10% to 20%
Dec-2023,Bangalore,Scott and Sons,Inactive,South,10804,4093584.34,896155.27,3299849.58,1229849.79,1935912.63,555285.15,24326.47,INR 30 to 40 lacs,More than 30%,EBITDA -ve,0% to 10%
Jan-2024,Bangalore,Scott and Sons,Inactive,South,14788,6808781.34,1128930.88,5803687.32,2768582.12,2949621.06,1552420.9,29196.53,INR 20 to 30 lacs,10% to 20%,EBITDA +ve,0% to 10%
Feb-2024,Bangalore,Scott and Sons,Inactive,South,11214,3458288.2,1021140.23,2545615.89,1119694.72,1363111.6,5698.05,26930.29,More than 40 lacs,More than 30%,EBITDA +ve,More than 20%
Mar-2024,Bangalore,Scott and Sons,Inactive,South,8256,3375080.18,828280.5,2611709.16,920311.28,1614464.75,359643.55,21543.46,INR 30 to 40 lacs,0% to 10%,EBITDA +ve,More than 20%
Oct-2023,Bangalore,Richardson-Wade,Active,South,8304,3755270.65,653457.44,3220712.2,1175103.53,1975205.11,619313.08,16112.08,More than 40 lacs,0% to 10%,EBITDA +ve,0% to 10%
Nov-2023,Bangalore,Richardson-Wade,Active,South,10895,4362467.42,735979.26,3683329.5,1084522.06,2545900.3,1285225.86,22729.81,More than 40 lacs,0% to 10%,EBITDA +ve,10% to 20%
Dec-2023,Bangalore,Richardson-Wade,Active,South,13354,4162577.82,833080.62,3400534.47,1209211.08,2132463.35,680530.23,17244.71,INR 20 to 30 lacs,More than 30%,EBITDA +ve,More than 20%
Jan-2024,Bangalore,Richardson-Wade,Active,South,9097,3029836.11,772722.72,2375941.74,1053356.34,1234893.98,-143262.42,19441.21,More than 40 lacs,0% to 10%,EBITDA +ve,10% to 20%
Feb-2024,Bangalore,Richardson-Wade,Active,South,13868,4351661.95,689991.72,3769425.29,1648811.51,1992942.72,778945.72,18375.87,More than 40 lacs,More than 30%,EBITDA -ve,10% to 20%
Mar-2024,Bangalore,Richardson-Wade,Active,South,11991,5094797.11,1142111.72,4003105,1925826.26,2008977.2,674851.09,12819.19,INR 20 to 30 lacs,More than 30%,EBITDA -ve,0% to 10%
Oct-2023,Mumbai,"Hall, Smith and Brown",Active,North,13165,6187485.15,1549057.64,4715248.01,2132845.57,2527206.78,1222453.21,11304.09,More than 40 lacs,More than 30%,EBITDA -ve,10% to 20%
Nov-2023,Mumbai,"Hall, Smith and Brown",Active,North,12373,4562328.94,877630.74,3748487.96,1422283.63,2257532,915166.19,20141.02,INR 30 to 40 lacs,0% to 10%,EBITDA +ve,10% to 20%
Dec-2023,Mumbai,"Hall, Smith and Brown",Active,North,9267,3154515.84,560348.4,2658897.92,1222921.11,1335456.13,-183966.2,13748.24,More than 40 lacs,More than 30%,EBITDA +ve,0% to 10%
Jan-2024,Mumbai,"Hall, Smith and Brown",Active,North,14644,5261559.27,1513914.76,3872968.56,1310610.56,2424375.81,1104215.07,10622.31,More than 40 lacs,0% to 10%,EBITDA -ve,0% to 10%
Feb-2024,Mumbai,"Hall, Smith and Brown",Active,North,9940,4326240.99,859907.9,3582631.09,1227691.14,2235524.89,869294.07,18941.11,INR 30 to 40 lacs,0% to 10%,EBITDA +ve,10% to 20%
Mar-2024,Mumbai,"Hall, Smith and Brown",Active,North,9597,3314286.3,686858.63,2700150.54,799769.83,1837635.31,289089.7,10922.47,INR 30 to 40 lacs,0% to 10%,EBITDA -ve,More than 20%
Oct-2023,Mumbai,Hammond Ltd,Inactive,West,13816,5440099.64,1061851.9,4479276.86,2051554.62,2318400.08,987682.82,23384.01,More than 40 lacs,0% to 10%,EBITDA +ve,10% to 20%
Nov-2023,Mumbai,Hammond Ltd,Inactive,West,7976,2495988.53,732257.32,1872789.53,643266.55,1162464.79,-318993.94,10058.42,INR 20 to 30 lacs,0% to 10%,EBITDA +ve,10% to 20%
Dec-2023,Mumbai,Hammond Ltd,Inactive,West,13716,5410943.77,848691.98,4637889.11,1923434.32,2643755.53,1500525.05,16904.46,INR 30 to 40 lacs,More than 30%,EBITDA +ve,More than 20%
Jan-2024,Mumbai,Hammond Ltd,Inactive,West,7182,3410333.23,764023.73,2696915.27,1000036.89,1575475.12,206995.33,12420.5,INR 30 to 40 lacs,0% to 10%,EBITDA -ve,More than 20%
Feb-2024,Mumbai,Hammond Ltd,Inactive,West,9459,3877402.36,1105246.53,2868501.67,1318317.1,1449969.21,165782.98,26160.45,INR 30 to 40 lacs,10% to 20%,EBITDA +ve,0% to 10%
Mar-2024,Mumbai,Hammond Ltd,Inactive,West,8150,3004362.79,779259.67,2301554.62,795493.25,1411419.42,-89328.25,16917.55,More than 40 lacs,10% to 20%,EBITDA -ve,0% to 10%
Oct-2023,Ahmedabad,Aguirre-Goodman,Active,East,10219,3760119.53,855750.21,3014886.72,1358839.67,1521874.71,215856.18,19757.02,More than 40 lacs,10% to 20%,EBITDA +ve,More than 20%
Nov-2023,Ahmedabad,Aguirre-Goodman,Active,East,11009,5284503.15,884735.98,4522031.72,1567075.1,2866008.43,1504175.25,21154.18,INR 30 to 40 lacs,More than 30%,EBITDA -ve,More than 20%
Dec-2023,Ahmedabad,Aguirre-Goodman,Active,East,8522,2838238.55,673933.11,2246837.04,773101.14,1344483.76,8219.14,19335.64,INR 20 to 30 lacs,0% to 10%,EBITDA +ve,More than 20%
Jan-2024,Ahmedabad,Aguirre-Goodman,Active,East,12113,5920936.38,1020292.18,5010709.73,1741787.84,3142742.07,1693353.4,27861.8,INR 20 to 30 lacs,More than 30%,EBITDA +ve,10% to 20%
Feb-2024,Ahmedabad,Aguirre-Goodman,Active,East,13290,4816027.75,907373.99,4036270.42,1190512.32,2743035.48,1239594.72,10113.32,More than 40 lacs,More than 30%,EBITDA +ve,10% to 20%
Mar-2024,Ahmedabad,Aguirre-Goodman,Active,East,11743,5328792.05,1325702.63,4036739.1,1517571.09,2462567.03,1137838.83,14647.69,INR 20 to 30 lacs,0% to 10%,EBITDA -ve,10% to 20%
Oct-2023,Ahmedabad,Rice-Chan,Active,East,9342,3552400.18,688729.63,2977785.02,980318.25,1926003.96,555172.09,28335.83,More than 40 lacs,0% to 10%,EBITDA +ve,10% to 20%
Nov-2023,Ahmedabad,Rice-Chan,Active,East,13919,4931249.43,1107086.77,3889536.09,1144817.63,2690033.27,1459506.63,28198.86,More than 40 lacs,10% to 20%,EBITDA +ve,0% to 10%
Dec-2023,Ahmedabad,Rice-Chan,Active,East,9671,4712332.38,1184072.51,3681454.93,1154919.67,2388984.14,1101634.75,25415.61,INR 20 to 30 lacs,0% to 10%,EBITDA -ve,0% to 10%
Jan-2024,Ahmedabad,Rice-Chan,Active,East,11968,3715716.98,985167.16,2799582.79,1291073.5,1390727.97,109649.06,15351.85,INR 20 to 30 lacs,More than 30%,EBITDA -ve,10% to 20%
Feb-2024,Ahmedabad,Rice-Chan,Active,East,9100,3982240.89,741825.1,3343141.35,1176440.08,2090033.75,820473.76,16641.99,More than 40 lacs,More than 30%,EBITDA +ve,10% to 20%
Mar-2024,Ahmedabad,Rice-Chan,Active,East,11760,5346429.69,1217350.39,4221079.31,1930228.03,2150995.22,794630.69,20889.65,INR 20 to 30 lacs,More than 30%,EBITDA +ve,10% to 20%
Oct-2023,Ahmedabad,"King, Navarro and Smith",Active,North,14310,5899422.12,1572427.26,4456332.68,1531579.99,2822026.17,1379556.55,16038.33,INR 20 to 30 lacs,10% to 20%,EBITDA -ve,10% to 20%
Nov-2023,Ahmedabad,"King, Navarro and Smith",Active,North,10809,3765624.92,847606.53,3031700.43,1121945.3,1843180.15,492630.46,18739.92,INR 20 to 30 lacs,0% to 10%,EBITDA +ve,More than 20%
Dec-2023,Ahmedabad,"King, Navarro and Smith",Active,North,14186,4755418.07,865930.99,4011632.53,1473678.68,2391248.58,870051.12,10921.13,INR 20 to 30 lacs,10% to 20%,EBITDA -ve,10% to 20%
Jan-2024,Ahmedabad,"King, Navarro and Smith",Active,North,9217,3358066.46,930877.22,2483092.71,780652.53,1612656.52,169893.14,14807.98,INR 20 to 30 lacs,10% to 20%,EBITDA -ve,More than 20%
Feb-2024,Ahmedabad,"King, Navarro and Smith",Active,North,14225,6763576.72,2003072.72,4837617.4,2069100.67,2675378.67,1246451.39,15913.89,More than 40 lacs,10% to 20%,EBITDA -ve,0% to 10%
Mar-2024,Ahmedabad,"King, Navarro and Smith",Active,North,11207,5278564.69,955744.16,4431700.17,2018360.88,2293977.48,1035332.21,16083.97,INR 20 to 30 lacs,10% to 20%,EBITDA +ve,More than 20%
Oct-2023,Mumbai,Erickson-Terry,Active,West,10388,4025312.45,1136789.12,3006933.37,1301355.48,1565973.81,287937.09,20351.93,More than 40 lacs,10% to 20%,EBITDA -ve,More than 20%
Nov-2023,Mumbai,Erickson-Terry,Active,West,7976,3911784.19,611659.66,3403653.75,1322322.67,1994403,434345.98,24023.4,INR 30 to 40 lacs,10% to 20%,EBITDA +ve,10% to 20%
Dec-2023,Mumbai,Erickson-Terry,Active,West,8099,3516675.35,757135.4,2857079.8,831972.1,1962669.42,475450.53,14534.55,More than 40 lacs,0% to 10%,EBITDA -ve,0% to 10%
Jan-2024,Mumbai,Erickson-Terry,Active,West,14722,6964376.83,1208953.01,5869323.59,2441958.88,3294081.67,1975437.48,23708.88,More than 40 lacs,10% to 20%,EBITDA +ve,More than 20%
Feb-2024,Mumbai,Erickson-Terry,Active,West,13340,4194392.4,758388.98,3532165.05,1561025.35,1822103.52,386460.94,20335.8,More than 40 lacs,More than 30%,EBITDA +ve,10% to 20%
Mar-2024,Mumbai,Erickson-Terry,Active,West,12922,4570598.64,882670.58,3730123.82,1316479.35,2303740.01,920200.72,28894.73,INR 30 to 40 lacs,0% to 10%,EBITDA -ve,More than 20%
Oct-2023,Mumbai,"Baker, Morgan and Torres",Inactive,West,11757,5735198.86,866028.33,4915927.32,2360850.21,2411111.96,989914.23,29925.25,More than 40 lacs,10% to 20%,EBITDA -ve,10% to 20%
Nov-2023,Mumbai,"Baker, Morgan and Torres",Inactive,West,7859,3321671.87,815979.45,2589149.23,752618.28,1765090.3,494577.91,24857.63,INR 30 to 40 lacs,More than 30%,EBITDA -ve,More than 20%
Dec-2023,Mumbai,"Baker, Morgan and Torres",Inactive,West,8911,4433506.93,858878.3,3685574.38,1715942.08,1916131.51,458502.95,19390.51,INR 20 to 30 lacs,0% to 10%,EBITDA -ve,More than 20%
Jan-2024,Mumbai,"Baker, Morgan and Torres",Inactive,West,9135,4434331.12,735251.93,3742240.35,1155953.64,2469864.77,1056908.06,16534.85,INR 30 to 40 lacs,More than 30%,EBITDA +ve,More than 20%
Feb-2024,Mumbai,"Baker, Morgan and Torres",Inactive,West,13121,4916491.65,937696.95,4050246.92,1605317.35,2306491.92,1003538.18,20827.39,More than 40 lacs,10% to 20%,EBITDA -ve,More than 20%
Mar-2024,Mumbai,"Baker, Morgan and Torres",Inactive,West,14581,4430083.89,774654.33,3697954.79,1532359.79,2109821.78,812952.62,20650.08,INR 20 to 30 lacs,10% to 20%,EBITDA -ve,0% to 10%
Oct-2023,Bangalore,"Johnston, Kirby and Smith",Inactive,East,7204,3164900.57,710063.05,2533987.69,1061336.48,1327507.01,-186335.98,15710.18,INR 30 to 40 lacs,10% to 20%,EBITDA +ve,More than 20%
Nov-2023,Bangalore,"Johnston, Kirby and Smith",Inactive,East,12318,4807208.18,853357.95,4001464.07,1885771.57,2058995.14,715646.19,11374.27,INR 30 to 40 lacs,More than 30%,EBITDA +ve,More than 20%
Dec-2023,Bangalore,"Johnston, Kirby and Smith",Inactive,East,9621,3606875.19,740932.56,2978776.55,1071461.7,1847777.69,563039.93,13173.58,INR 20 to 30 lacs,10% to 20%,EBITDA -ve,0% to 10%
Jan-2024,Bangalore,"Johnston, Kirby and Smith",Inactive,East,10471,4730201.63,1133229.99,3673485.66,1583579.23,2019681.01,797919.92,28781.37,INR 20 to 30 lacs,More than 30%,EBITDA -ve,0% to 10%
Feb-2024,Bangalore,"Johnston, Kirby and Smith",Inactive,East,10293,3551171.21,814314.32,2830981.27,1235732.42,1499096.56,32148.74,20284.02,INR 20 to 30 lacs,0% to 10%,EBITDA +ve,0% to 10%
Mar-2024,Bangalore,"Johnston, Kirby and Smith",Inactive,East,14934,7171190,2147223.89,5076999.12,2496556.22,2455624.51,1064518.09,22474.86,INR 20 to 30 lacs,10% to 20%,EBITDA +ve,10% to 20%
Oct-2023,Bangalore,Acevedo Inc,Inactive,South,7991,2891073.46,491183.8,2483217.23,750835.98,1609080.89,212286.2,28984.01,INR 30 to 40 lacs,10% to 20%,EBITDA +ve,0% to 10%
Nov-2023,Bangalore,Acevedo Inc,Inactive,South,13332,5798850.2,1459163.18,4434029.3,1854469.27,2513939.37,1160441.25,19769.91,More than 40 lacs,More than 30%,EBITDA +ve,0% to 10%
Dec-2023,Bangalore,Acevedo Inc,Inactive,South,12213,5817334.36,1382634.77,4518444.31,1941662.72,2503702.12,1064455.02,22379.83,INR 30 to 40 lacs,0% to 10%,EBITDA +ve,More than 20%
Jan-2024,Bangalore,Acevedo Inc,Inactive,South,8230,3863800.53,615731.81,3399862.75,1027864.79,2314894.47,1043787.37,12593.58,More than 40 lacs,10% to 20%,EBITDA +ve,More than 20%
Feb-2024,Bangalore,Acevedo Inc,Inactive,South,11134,4154308.51,843551.05,3422283.91,1634804.72,1727620.9,347258.21,17276.19,INR 20 to 30 lacs,0% to 10%,EBITDA -ve,0% to 10%
Mar-2024,Bangalore,Acevedo Inc,Inactive,South,9837,4377476.95,1033711.14,3424415.76,1654280.89,1682988.14,298201.1,21354.55,INR 30 to 40 lacs,More than 30%,EBITDA -ve,10% to 20%
Oct-2023,Hyderabad,Kim-Williams,Inactive,North,12112,4876041.83,1367441.62,3593358.78,1643067.01,1814865.69,328559.44,10504.75,INR 20 to 30 lacs,More than 30%,EBITDA -ve,10% to 20%
